flight_sk,journey_sk,airline,departure_airport_id,arrival_airport_id,duration,layover_duration,total_journey_duration,price,hour_of_day,day_of_week,pos,is_best,is_overnight,has_layover,airline_code,dep_airport_code,arr_airport_code,temperature_c,precipitation_mm,weather_code,wind_speed_kmh,visibility_m,snowfall_cm,weather_risk_score,is_delayed
c2387634d2ff3c77dc88df7804e9ebc4,07e84db2ebd6b2eea1db8936899c9399,United,IAH,LGA,222.0,0.0,389.0,290.0,9.0,3.0,1.0,0.0,0.0,0.0,6.0,11.0,13.0,25.5,0.0,2.0,7.6,10000.0,0.0,0.0,0.0
040c0a3b1d12d6992b0e85e78c4e3154,eec6b5e79ea0d46fe26053b4fcb78fed,Frontier,FLL,CLT,145.0,311.0,582.0,183.0,9.0,3.0,0.0,0.0,0.0,1.0,3.0,9.0,4.0,28.1,0.0,3.0,4.2,10000.0,0.0,0.0,0.0
b5e04e599f5f6f58a26b0904715146ba,602eb851fefb6c3c78c22775ce7a7f07,American,MIA,LGA,181.0,0.0,181.0,847.0,10.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,29.0,0.7,53.0,9.2,10000.0,0.0,1.0,0.0
6800f983f2194ad350486217bceb62ee,6689a9c7da2e3a1dd82daa9c90784cd1,American,MIA,JFK,194.0,0.0,194.0,274.0,10.0,3.0,0.0,1.0,0.0,0.0,1.0,13.0,12.0,29.0,0.7,53.0,9.2,10000.0,0.0,1.0,0.0
ca281ed21cac67bb6cbd15c418896cc1,0016e4041fc5e2389ebbfc8de1c92342,United,DFW,EWR,215.0,0.0,215.0,251.0,10.0,3.0,0.0,1.0,0.0,0.0,6.0,7.0,8.0,21.8,1.4,61.0,8.0,10000.0,0.0,1.0,0.0
c63cf8ab79b534e140d6cca9d94652f1,64b52daab912f17c112c6d1e9a21abf5,JetBlue,FLL,LGA,175.0,0.0,175.0,256.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,29.6,0.0,3.0,8.1,10000.0,0.0,0.0,0.0
f5acd13a3bfa62dd0db5be08d6b8be96,f138cea58ce4063ff62de37a9a085e31,JetBlue,FLL,JFK,191.0,0.0,191.0,256.0,10.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,29.6,0.0,3.0,8.1,10000.0,0.0,0.0,0.0
6ea3ce22fd932cac656243b39347485b,5bb32450c03a623998fad0ae9811d972,Delta,DFW,LGA,219.0,0.0,219.0,342.0,10.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,21.8,1.4,61.0,8.0,10000.0,0.0,1.0,0.0
488b0bf06254e51b0cfd9ac9cbdcf45a,636b9e59e1dfc0be77051525993c32d1,American,DFW,JFK,218.0,0.0,218.0,342.0,11.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,12.0,21.8,2.6,63.0,7.5,10000.0,0.0,2.0,0.0
c486a08bf2e7970590b8a10bf53c01c2,dd9b158a8cb272242803df575d02c533,Delta,FLL,JFK,171.0,0.0,171.0,256.0,11.0,3.0,0.0,1.0,0.0,0.0,2.0,9.0,12.0,29.4,0.1,51.0,15.5,10000.0,0.0,1.0,0.0
e0e69b30dcba8edbc3148d8ec81ab732,ec1f060239ce91a981827edcf74950c2,United,FLL,EWR,184.0,0.0,184.0,337.0,11.0,3.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,29.4,0.1,51.0,15.5,10000.0,0.0,1.0,0.0
7abfb3f4d3c1d268775065b380313743,23f7ef70df523fc137d554fe7daface3,Frontier,MIA,ATL,135.0,439.0,715.0,188.0,11.0,3.0,0.0,0.0,0.0,1.0,3.0,13.0,0.0,28.0,3.2,63.0,5.4,10000.0,0.0,2.0,0.0
41f8c92eb88cce9750286882a936c793,c1dc7217943d582c77047eb8f6d3d190,United,FLL,CLE,165.0,74.0,340.0,264.0,11.0,3.0,0.0,0.0,0.0,1.0,6.0,9.0,3.0,29.4,0.1,51.0,15.5,10000.0,0.0,1.0,0.0
b4b8cb8a8764d22b2cb6d142892be9d1,24aadc16e12add4b773824c48ea7e56b,Delta,MIA,JFK,187.0,0.0,187.0,598.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,12.0,28.0,3.2,63.0,5.4,10000.0,0.0,2.0,0.0
eb9e5040761b810fabbf6ffdae0adb82,4d37bf6c395a1c28ee489130e1ce10fd,Delta,MIA,LGA,188.0,0.0,188.0,274.0,11.0,3.0,0.0,1.0,0.0,0.0,2.0,13.0,13.0,28.0,3.2,63.0,5.4,10000.0,0.0,2.0,0.0
abd2c3d4a94fea5f85d4c197abbc0d9b,e10dd7e2f2b464e29021100b92d44f64,Delta,FLL,LGA,178.0,0.0,178.0,719.0,11.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,13.0,29.4,0.1,51.0,15.5,10000.0,0.0,1.0,0.0
bfb5c51a483912fca4e68e6c3e42af98,abb770c0a6f83ffffb8262ecf94dd92c,JetBlue,FLL,JFK,187.0,0.0,187.0,256.0,11.0,3.0,0.0,1.0,0.0,0.0,4.0,9.0,12.0,29.4,0.1,51.0,15.5,10000.0,0.0,1.0,0.0
71eeeb7bdb17497b04f7ff92e42e4e97,7a800f4d75b524b2370a3394eb06bfa6,United,DFW,IAH,78.0,70.0,372.0,290.0,11.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,11.0,21.8,2.6,63.0,7.5,10000.0,0.0,2.0,0.0
c85925964765204e20717807dd82cd86,d1c1788d930317def82ee0cc24622060,United,IAH,LGA,224.0,0.0,358.0,290.0,12.0,3.0,1.0,1.0,0.0,0.0,6.0,11.0,13.0,25.1,1.9,61.0,12.9,10000.0,0.0,1.0,1.0
e198d0c3c20e131ebad28e45c69ca5e4,3546ffc6c0398e2a395176989e4cda47,Delta,ATL,EWR,135.0,0.0,385.0,259.0,12.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,25.8,0.1,51.0,5.1,10000.0,0.0,1.0,0.0
95e6ed37fd99a78f090db5a05c268c32,8b381745013c6532eb97c5782c20e153,Delta,ATL,EWR,135.0,0.0,310.0,277.0,12.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,8.0,25.8,0.1,51.0,5.1,10000.0,0.0,1.0,0.0
2b0c0cd54b1990fdd5b95cce565757c8,51ebd4b6a1f01d0ccc85c90c1f2499ca,JetBlue,FLL,LGA,174.0,0.0,174.0,256.0,12.0,3.0,0.0,1.0,0.0,0.0,4.0,9.0,13.0,29.9,0.1,51.0,14.0,10000.0,0.0,1.0,1.0
a3b3f7bde846488274bc30ed440fdcce,e9ed83dc5d1b8cde21dd58ab518cf08b,American,PIT,JFK,105.0,0.0,355.0,382.0,12.0,3.0,1.0,0.0,0.0,0.0,1.0,15.0,12.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,0.0
731b0b5f6da62b8b5db79e3ab63388f2,085c10be256f05ed58b14a02d8fd59b4,American,DFW,BOS,230.0,38.0,372.0,382.0,12.0,3.0,0.0,0.0,0.0,1.0,1.0,7.0,2.0,22.6,0.7,53.0,4.3,10000.0,0.0,1.0,1.0
17b79f793ae2247a651094a738a3cbbc,f0bd42ba101c657da20f519188637c90,Delta,DFW,ATL,138.0,61.0,365.0,745.0,12.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,22.6,0.7,53.0,4.3,10000.0,0.0,1.0,0.0
6d9ce08e16ff4898f5719bfaef34b11b,582df99d24838d1a10e0b3d9dbc7a13b,Delta,DFW,ATL,138.0,178.0,482.0,350.0,12.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,22.6,0.7,53.0,4.3,10000.0,0.0,1.0,0.0
ef30bcf402b38777d39750b213d57162,83a0f3ba1cd74c97d34e7a26b353374c,American,DFW,LGA,213.0,0.0,213.0,374.0,12.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,22.6,0.7,53.0,4.3,10000.0,0.0,1.0,1.0
8fc5a6f112223b1882b1c8276ccd417b,a9818e73468d1f1ab7c61ff73667471f,United,FLL,EWR,184.0,0.0,184.0,337.0,12.0,3.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,29.9,0.1,51.0,14.0,10000.0,0.0,1.0,0.0
d11e63f9200dbb796d158a8429dc7728,225261f0491d9e8f7834d1d67741783c,United,DFW,EWR,217.0,0.0,217.0,251.0,13.0,3.0,0.0,1.0,0.0,0.0,6.0,7.0,8.0,22.8,1.5,61.0,10.1,10000.0,0.0,1.0,0.0
cd6f80bbdafffba12fc7f99e0a7baec9,5d82a9ce0a8d4f22fd755abb24b672e6,United,MIA,IAD,163.0,87.0,337.0,283.0,13.0,3.0,0.0,0.0,0.0,1.0,6.0,13.0,10.0,29.2,0.0,1.0,11.5,10000.0,0.0,0.0,0.0
8bfa07d5c35e82edd7b8cc6ee7826bc7,f9602bfe80f933e8f6fc0389540e1f40,Delta,DFW,LGA,215.0,0.0,215.0,342.0,13.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,22.8,1.5,61.0,10.1,10000.0,0.0,1.0,1.0
9cde823b3a0c256caf33f66888718b23,d947dc2f8083dd6e57edcdd328aee99c,Delta,DFW,DTW,165.0,33.0,305.0,277.0,13.0,3.0,0.0,0.0,0.0,1.0,2.0,7.0,7.0,22.8,1.5,61.0,10.1,10000.0,0.0,1.0,0.0
22712c09d0a5efd9723b08d05e27946e,e36d4578f934ff9a56796400526e3918,American,DFW,LGA,212.0,0.0,212.0,342.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,22.8,1.5,61.0,10.1,10000.0,0.0,1.0,1.0
f1f437c715929fc953e449bb6f1080cd,337f47aacecac5b26424dcebe0268a8a,United,DFW,DEN,131.0,65.0,430.0,290.0,13.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,6.0,22.8,1.5,61.0,10.1,10000.0,0.0,1.0,0.0
963c3a4f95deafdf3ad6ffa629df7baf,25ef8af63195e2a8ea7de64ed7a069b8,American,MIA,JFK,190.0,0.0,190.0,389.0,13.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,29.2,0.0,1.0,11.5,10000.0,0.0,0.0,0.0
8f849b64da301cad7852048f53c05b82,ebd957ae0281b1dd5be075486af8d2e2,American,FLL,CLT,132.0,127.0,396.0,264.0,13.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,29.8,0.1,51.0,13.2,10000.0,0.0,1.0,0.0
1541c8efc41bf27cdf5baf5475af49ce,1bc2bcb67d63c26deb5393f4c5168b0d,Alaska,SEA,JFK,327.0,0.0,749.0,636.0,14.0,3.0,1.0,0.0,0.0,0.0,0.0,16.0,12.0,21.9,0.0,0.0,14.0,10000.0,0.0,0.0,0.0
8055c917b7667b639dc0ab52783c0a50,949bf15fa7c0a7ae9314fa434b440809,American,MIA,LGA,183.0,0.0,183.0,274.0,14.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,29.2,1.7,61.0,13.9,10000.0,0.0,1.0,1.0
73ea1e4ddd07af0a83e63487ad2ef31a,7a800f4d75b524b2370a3394eb06bfa6,United,IAH,LGA,224.0,0.0,372.0,290.0,14.0,3.0,1.0,0.0,0.0,0.0,6.0,11.0,13.0,28.9,0.1,51.0,12.2,10000.0,0.0,1.0,1.0
723336317df673f8447129f674176eb7,a47a2f12eb8e527b8e998842ca946779,American,DFW,EWR,213.0,0.0,213.0,342.0,14.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,8.0,21.9,2.5,63.0,9.3,10000.0,0.0,2.0,1.0
c234e7c1117faecad0e1991cd3ea4949,694436c0871bef9a3231e2451bbac923,Southwest,MIA,MDW,190.0,165.0,485.0,198.0,14.0,3.0,0.0,0.0,0.0,1.0,5.0,13.0,14.0,29.2,1.7,61.0,13.9,10000.0,0.0,1.0,0.0
6b6db6fbd968489759fc004a942d262e,ce04bb34cf174da66a6dba490417a8e3,American,DFW,LGA,211.0,0.0,211.0,342.0,14.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,21.9,2.5,63.0,9.3,10000.0,0.0,2.0,1.0
15b8518d01b5e2822516c4b5fa632615,a690b9e995b003d8d338c4ac5c6088c1,Delta,FLL,LGA,191.0,0.0,191.0,256.0,15.0,3.0,0.0,1.0,0.0,0.0,2.0,9.0,13.0,30.2,0.0,3.0,14.8,10000.0,0.0,0.0,0.0
af33dbb4f2424991f17093c10dff311b,c1dc7217943d582c77047eb8f6d3d190,United,CLE,EWR,101.0,0.0,340.0,264.0,15.0,3.0,1.0,0.0,0.0,0.0,6.0,3.0,8.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,0.0
5219d495f9747f2c716ac9a4b01980b0,8cf873f08c58baa17359e59238cee1eb,Delta,MIA,JFK,209.0,0.0,209.0,274.0,15.0,3.0,0.0,1.0,0.0,0.0,2.0,13.0,12.0,29.6,0.3,51.0,12.8,10000.0,0.0,1.0,0.0
1ab820aa64062572712d661489114920,441d84d575b7b627c3ed361e77a0ae0e,Delta,FLL,JFK,199.0,0.0,199.0,256.0,15.0,3.0,0.0,0.0,0.0,0.0,2.0,9.0,12.0,30.2,0.0,3.0,14.8,10000.0,0.0,0.0,0.0
8e094bd90adfb8379993627515307136,938fc4b2bd7167c977f689a0e0ae0fd9,Delta,MIA,LGA,198.0,0.0,198.0,311.0,15.0,3.0,0.0,0.0,0.0,0.0,2.0,13.0,13.0,29.6,0.3,51.0,12.8,10000.0,0.0,1.0,1.0
3860f79f98ff40513655ee61be4bb2df,c306c0722c8fe26af7e6ef78a70eab08,American,MIA,LGA,179.0,0.0,179.0,274.0,15.0,3.0,0.0,1.0,0.0,0.0,1.0,13.0,13.0,29.6,0.3,51.0,12.8,10000.0,0.0,1.0,1.0
70f5f5bede4daea92270fbdd0884f209,5abfbfdd962b942d121edeae8a065169,American,DFW,JFK,224.0,0.0,224.0,342.0,15.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,12.0,24.0,0.2,51.0,14.1,10000.0,0.0,1.0,1.0
2ada0e289b4b295e02157b7507c0bb47,c305fec0af2f6b09f2c610324a467f79,JetBlue,FLL,JFK,191.0,0.0,191.0,256.0,15.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,12.0,30.2,0.0,3.0,14.8,10000.0,0.0,0.0,1.0
cc20b04468de7cb213d45f11465a30ce,a439f5d9c2e934afe917037434c7598d,United,FLL,EWR,187.0,0.0,187.0,337.0,15.0,3.0,0.0,0.0,0.0,0.0,6.0,9.0,8.0,30.2,0.0,3.0,14.8,10000.0,0.0,0.0,0.0
d0229a87e52fbd359fbf3481b73428b0,77b438bb96ef3b93b48ff97bbed7bf46,American,DFW,LGA,211.0,0.0,211.0,342.0,15.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,24.0,0.2,51.0,14.1,10000.0,0.0,1.0,1.0
52f912c64517f67fbcba132898fcad6e,337f47aacecac5b26424dcebe0268a8a,United,DEN,LGA,234.0,0.0,430.0,290.0,16.0,3.0,1.0,0.0,0.0,0.0,6.0,6.0,13.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,1.0
35e97e808248fe30faa6c50d1f06cc80,eb019e3fb64361b7a99afed933796db6,Southwest,MIA,BNA,145.0,160.0,445.0,198.0,16.0,3.0,0.0,0.0,0.0,1.0,5.0,13.0,1.0,29.5,0.0,1.0,12.8,10000.0,0.0,0.0,0.0
eaf6047ef32bbfa888ca08d7a97fd155,a51d208d2d391a37b168bea944a29f71,United,DFW,IAH,77.0,74.0,374.0,290.0,16.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,11.0,25.0,0.0,3.0,13.9,10000.0,0.0,0.0,1.0
7329bd3d2868f007fd634c3783c9f140,b95d4cde205e910095eab56e56b2807b,American,MIA,JFK,190.0,0.0,190.0,274.0,16.0,3.0,0.0,1.0,0.0,0.0,1.0,13.0,12.0,29.5,0.0,1.0,12.8,10000.0,0.0,0.0,0.0
14fa1f8e2148d1e809dfb7a0c1eeb5b7,90425e0989e9a465e917fb8a43b07959,American,FLL,CLT,137.0,102.0,362.0,285.0,16.0,3.0,0.0,0.0,0.0,1.0,1.0,9.0,4.0,30.5,0.0,2.0,13.2,10000.0,0.0,0.0,0.0
84433e0379edfa9f4aac27c9ac0d790d,c54aa968a2502452b44d776c2f3e11c3,Delta,DFW,LGA,217.0,0.0,217.0,563.0,16.0,3.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,25.0,0.0,3.0,13.9,10000.0,0.0,0.0,1.0
8e16887df9c13bf91edee043c5bd8a98,3ccc7acc44a8f4ff08482d292fe99713,American,MIA,LGA,182.0,0.0,182.0,274.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,29.5,0.0,1.0,12.8,10000.0,0.0,0.0,1.0
1502be5777cb1c6472dfc8ace206be36,f0bd42ba101c657da20f519188637c90,Delta,ATL,JFK,166.0,0.0,365.0,745.0,16.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,12.0,29.5,0.1,51.0,4.8,10000.0,0.0,1.0,0.0
1e78f603e5782e792099b45c003ae599,1b605b6d9c25ff47393bb1ea291b01ef,JetBlue,FLL,LGA,178.0,0.0,178.0,256.0,16.0,3.0,0.0,0.0,0.0,0.0,4.0,9.0,13.0,30.5,0.0,2.0,13.2,10000.0,0.0,0.0,1.0
32d3dbd872ec3b905dbb6273c244402d,fe0701ec84427b740d07cc9672c74b7d,United,DFW,EWR,215.0,0.0,215.0,407.0,16.0,3.0,0.0,0.0,0.0,0.0,6.0,7.0,8.0,25.0,0.0,3.0,13.9,10000.0,0.0,0.0,1.0
df7bd303e940e6426bc5a06befec44aa,f6347707c9a16c37c353038c9eaa10be,American,DFW,LGA,210.0,0.0,210.0,342.0,16.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,25.0,0.0,3.0,13.9,10000.0,0.0,0.0,1.0
060f295aafdf6804ad90799780899396,14a874a4eb2648b7f976efbae6c22a70,United,DFW,IAD,189.0,41.0,315.0,290.0,17.0,3.0,0.0,0.0,0.0,1.0,6.0,7.0,10.0,23.9,0.1,51.0,12.4,10000.0,0.0,1.0,1.0
61d0e0523d303dd8eb1f11c3d95dcd67,5d82a9ce0a8d4f22fd755abb24b672e6,United,IAD,LGA,87.0,0.0,337.0,283.0,17.0,3.0,1.0,0.0,0.0,0.0,6.0,10.0,13.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,0.0
509403a01bbb10ddfb1fd422cc1b4c20,eec6b5e79ea0d46fe26053b4fcb78fed,Frontier,CLT,LGA,126.0,0.0,582.0,183.0,17.0,3.0,1.0,0.0,0.0,0.0,3.0,4.0,13.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,0.0
0d8ff4cc59388883440b9f68cc539e94,50635df43e77a8127a6fafb27632c2d4,American,DFW,JFK,226.0,0.0,226.0,342.0,17.0,3.0,0.0,1.0,0.0,0.0,1.0,7.0,12.0,23.9,0.1,51.0,12.4,10000.0,0.0,1.0,1.0
91e93c00de1f6ebe40d31036b115ca0f,d947dc2f8083dd6e57edcdd328aee99c,Delta,DTW,EWR,107.0,0.0,305.0,277.0,17.0,3.0,1.0,0.0,0.0,0.0,2.0,8.0,8.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,0.0
e878bdf61052099cc6ad88f12525a256,085c10be256f05ed58b14a02d8fd59b4,American,BOS,JFK,104.0,0.0,372.0,382.0,17.0,3.0,1.0,0.0,0.0,0.0,1.0,2.0,12.0,25.4,0.0,0.0,21.3,10000.0,0.0,0.0,1.0
460a1f3df697631653b0d733027038ad,b7ee8a1735d0eddea3f56642ca9b2b5c,American,MIA,LGA,184.0,0.0,184.0,274.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,28.9,0.1,51.0,12.1,10000.0,0.0,1.0,1.0
bff5a460f3e3bb108305ece790970acf,f662375769e8ee2e9731bb9301767dc2,United,FLL,EWR,191.0,0.0,191.0,256.0,17.0,3.0,0.0,1.0,0.0,0.0,6.0,9.0,8.0,30.5,0.0,3.0,14.6,10000.0,0.0,0.0,0.0
b214d9a6bd72acf6d44192297e482563,1eb31d4c81f47d660ef859584ee70d0a,American,DFW,LGA,212.0,0.0,212.0,342.0,17.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,13.0,23.9,0.1,51.0,12.4,10000.0,0.0,1.0,1.0
d610d903bc9bc88003b907a3b0410fd9,df801c9f2bd5a8dd025d3cacff203fac,American,FLL,LGA,177.0,0.0,177.0,256.0,17.0,3.0,0.0,1.0,0.0,0.0,1.0,9.0,13.0,30.5,0.0,3.0,14.6,10000.0,0.0,0.0,1.0
3af684c2d89d57b48bc4298eff408ebd,0e06d52a9fa3ce3af54274ebd54cdf90,JetBlue,FLL,EWR,183.0,0.0,183.0,256.0,17.0,3.0,0.0,1.0,0.0,0.0,4.0,9.0,8.0,30.5,0.0,3.0,14.6,10000.0,0.0,0.0,1.0
87f5c7f4788f0fb8241ac6af6e2b50a6,ebd957ae0281b1dd5be075486af8d2e2,American,CLT,EWR,137.0,0.0,396.0,264.0,18.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,8.0,27.1,0.1,0.0,9.2,10000.0,0.0,0.0,1.0
8f6c39f7ceb6675e4a834209bc57972e,e8cd9727cb76fee88f02c64812dff4ce,American,MIA,JFK,191.0,0.0,191.0,274.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,13.0,12.0,28.5,0.0,3.0,10.3,10000.0,0.0,0.0,1.0
fc39f3fc58af1ebc0744e4f263fd1464,a21d61901cf585bfe45b6493b6d695e3,American,DFW,EWR,214.0,0.0,214.0,342.0,18.0,3.0,0.0,0.0,0.0,0.0,1.0,7.0,8.0,22.8,0.7,53.0,8.1,10000.0,0.0,1.0,0.0
ca9b7ee6c57967cada9f703d291a981e,a51d208d2d391a37b168bea944a29f71,United,IAH,LGA,223.0,0.0,374.0,290.0,18.0,3.0,1.0,0.0,0.0,0.0,6.0,11.0,13.0,27.5,0.0,3.0,2.1,10000.0,0.0,0.0,1.0
